
technical stack     技术栈
(limited) lifetime        (有限)有效期,一生 n
shutdown        关机 n
extensively         大量地,频繁地 adv
desktop         桌面 n
workstation         工作站 n
modern/modernization              现代的 adj/n
self-service            自助服务
read-only access            只读权限 n
authenticate/authentication(auth)         认证 v/n
as a whole          总体上,总的来说,整体来看 adv
common used         常用
portal          门户 n
block/blocker         阻碍 v/n
(request) payload         有效负载 n
third-party     第三方
escalate/Escalation                 上报,升级 v
cyber       网络的 adj
foundational (branch)            基础的,基本的 adj
move/movement                    移动,措施,转移 n/动作 n
engineering     工程,工程学 n
powerful            强大的,有影响力的 adj
production-ready        可上线投产的 adj
shortening      缩短,变短,缩写 v
half        一半,二分之一 n
revert                 恢复,回复 v
routine (maintenance)           常规,惯例 n/常规维护,日常保养
disk            磁盘 n
confidence          自信,信心,信任 n
workshop            车间,工场,作坊 n
shell company       空壳公司
money mule          资金骡(洗钱中转人/中转企业)
go public           上市,公开募股
criminal            犯法的,犯罪的 adj/罪犯 n
knowingly/unknowingly         不知情地,不知不觉地 adv
adoption        采用,接受 n
contain            包含,遏制 v
lead time           任务耗时,处理时长 n
hands-on (guidance)     实操指导
apply straight away     直接落地,立刻投入使用 v
implement           落地,部署 n/实现 v
language        专业术语 n
fit         适合,合身,匹配 n
issue identified                            识别到的问题
round/can we ask jack to perform the final round of check (on this)     一轮,一遍 n/我们可以请jack做最后一轮检查吗
shortly                             不久,很快 adv
comment     评估 v
as of 2026/6/12     截至指定日期
access application process      权限申请流程 n
fine-tune           精细调优 n/精细地,细微的 adj/调校,调整,调节 v
control             控制 v/管控 n
where (it's) appropriate       在合适的场景/情形下
development         制定,完善,构建 n
developer usage acknowledgement         开发者使用 承诺书/声明
progressive rollout         逐步部署,分阶段上线部署
weekly          每周,每星期 adv
driven by n     被n驱动,主导,制约
revoke/revocation                 撤销 v/取消,撤回 n
value                           价值,价值观 n
recommended learning path           推荐学习路线 n
final bit of work           收尾工作 n
close down           收尾,完成 v
codebase            代码库 n
snippet         小片,片断	 n
datapoint           数据点 n
re-platform         平台重构,系统迁移 n
building block       基础模块,核心组件,积木块 n
somewhat            稍微,有点 adv
maintain                            保持,维持,维护 v
clarify/clarity                         澄清,阐明,明确 v/清晰 n
role                角色,作用,职责 n
the following day           第二天,翌日 n
given n/that/time                    鉴于,考虑到.../给定的时间
presence        出席 n
user access review          用户访问权限审核
outcome         结果 n
end-to-end          端对端的 adj/adv
built-in                内置的 adj
on your calendar            你的日程
ahead           在前的,提前的,未来的,即将到来的 adj
last            最后的,最近的 adj/持续 v
subset              子集 n
anything urgent             紧急事项 n
open(to do) item                   待处理事项 n
work together           协同配合
draft                                   起草,草拟 v/草稿 n
phase           阶段 n
rolling restart     滚动重启 n
highlight           突出,强调 v
(improving) context/contextual      /kənˈtekstʃuəl/     优化上下文/场景相关的,上下文的 adj
disconnected            割裂的,零散的 adj
session         课程场次,会议 n
specify/specified/specification/specific/specifically       指定 v/规定,指定的 adj/规格说明 n/明确的,具体的地,特定的,特意的 adj/adv
unblock (delivery)            解决,扫清阻碍,解除阻塞,解锁 v/扫清交付卡点
forward             向前,今后 adv/向前的 adj/转交 v
map/maps/mapped/mapping         地图,分布图,映射 v
onboarding          接入,上线 v
upcoming                即将来临的 adj
go live                 上线 v
sequence diagram                时序图,顺序图 n
usage-based billing model       按使用量的计费模式
review              查阅 v
during the Maintenance window           维护窗口期间
powered by          由...开发/运营/提供技术支持/提供动力/驱动
alerts      通知 v/警报,告警 n
flood       泛滥 n
trigger     触发(器) v/n
alias name/Individual other name          别名/个人别名,曾用名 n
natural person              自然人 n
distribute/Distribution/Distributed locks          分发,分配 v/n    分布式锁 n
terminate/terminal      终止 v    终端 adj/n
terms of reference      职权范围 n
federated       联邦的 adj
data ingestion          数据接入,摄取 n
map/mapped/mapping         地图,映射 n/映射 v
(work) handover item/content/object            工作交接/交接项,内容,对象 n
continued               持续的 adj
inaccessible            不可及的 adj
user base           用户群
retrospective           追溯性,回顾的 adj
precaution             预防措施 n
almost              几乎,差不多
freeze/freezes/froze/frozen         卡死,冻结,无响应
chase/chased/chasing       跟进,催促 v
logical             合情合理的,合乎逻辑的 adj
real-time/in real time                 实时的 adj/adv
address                 解决,处理 v
oversee                     统筹,监督 v
take/took/taken
programmatically                通过编程方式 adv
miss                错过,想念 v
standby             备用物 n
bookmark        书签 n
outage                  停止供应期 n
only               唯一的 adj
queue               排队 v
per                     每,每一,按照,根据
reverse                     相反的 adj
range                       处于...之间 v
rework      返工 v/n
familiar            熟悉的 adj
saving              节约,节省 n/节约的,节省的 adj
(the risk of) human error             人为失误
deliver                提供,交付 v
existing                 现有的 adj
outdated                过时的 adj
sync(synchronize)           同步 v/n
problematic (code)            有问题的 adj/有问题的代码
utilize(utilise 英式)                 利用,使用 v
succeed             成功 v
by default          默认情况下 adv
in use      在使用中 adv
count           计数 v
collect     收集 v
frequent/frequently(often)          经常地,频繁地 adj/adv
anyway          总之,反正
hold on            等一下,坚持住
find out more       了解更多
multimodal model     多模态(模型)
significant/significantly       显著地,大幅度地,重要地 adj/adv
as needed       按需 adv
mix (a with b)             混合 v/n/把A和B混合
by cob today        Close of Business   今日下班前
regroup     复盘碰头,重新组合 v
baseline/re-baseline        基线,基准 n/重新设定基线 v
document/raise a ticket to document the backend workflow in Confluence       记录,记载 v/在Confluence记录backend的workflow
over time       随着时间流逝
const(construction)         建造,建筑,建筑材料 n
recycle         复用,回收利用 v/n
actual loss (amount)        失去,损失 n/实际损失金额
cash deposit machine-bulk/large       大额现金自助存款机
outstanding (defect)         未解决的,杰出的,优秀的 adj/严重缺陷
devx        developer experience 开发者体验
known as (live migrations)       被称为,叫作/在线迁移
preview     预览 v
at speed                高速度地 adv
user experience         用户体验
in public preview       公开预览阶段
subject to change       后续可能调整,可能变更,视情况调整
premium     高级的,增值的 adj
source of truth     最终依据,可信数据源
directory       文件夹,目录 n
interface   接口,界面 n
ruleset        规则集 n
